Tag,Color
D40,"rgb(0, 119, 127)"
D41,"rgb(127, 53, 0)"
D42,"rgb(127, 0, 4)"
D43,"rgb(0, 19, 127)"
D44,"rgb(0, 127, 67)"
D45,"rgb(127, 68, 0)"
D46,"rgb(127, 112, 0)"
D47,"rgb(127, 53, 0)"
D48,"rgb(87, 127, 0)"
D49,"rgb(0, 127, 91)"
D50,"rgb(127, 14, 0)"
D51,"rgb(127, 0, 76)"
D52,"rgb(0, 48, 127)"
D53,"rgb(127, 27, 0)"
D54,"rgb(127, 0, 72)"
D55,"rgb(127, 31, 0)"
D56,"rgb(0, 127, 23)"
D57,"rgb(127, 123, 0)"
D58,"rgb(0, 82, 127)"
D59,"rgb(0, 6, 127)"
D60,"rgb(0, 123, 127)"
D61,"rgb(6, 0, 127)"
D62,"rgb(0, 127, 101)"
D63,"rgb(23, 127, 0)"
D64,"rgb(127, 68, 0)"
D65,"rgb(127, 36, 0)"
D66,"rgb(0, 25, 127)"
D67,"rgb(127, 0, 114)"
D68,"rgb(106, 0, 127)"
D69,"rgb(63, 0, 127)"
D70,"rgb(127, 0, 101)"
D71,"rgb(0, 51, 127)"
D72,"rgb(127, 0, 14)"
D73,"rgb(127, 36, 0)"
D74,"rgb(127, 108, 0)"
D75,"rgb(53, 127, 0)"
D76,"rgb(0, 57, 127)"
D77,"rgb(68, 127, 0)"
D78,"rgb(127, 0, 59)"
D79,"rgb(127, 78, 0)"
D80,"rgb(127, 42, 0)"
D81,"rgb(65, 127, 0)"
D82,"rgb(0, 127, 59)"
D83,"rgb(0, 116, 127)"
D84,"rgb(127, 0, 114)"
D85,"rgb(127, 0, 38)"
D86,"rgb(0, 114, 127)"
D87,"rgb(27, 127, 0)"
D88,"rgb(0, 72, 127)"
D89,"rgb(127, 0, 82)"
D90,"rgb(72, 127, 0)"
D91,"rgb(0, 21, 127)"
D92,"rgb(127, 89, 0)"
D93,"rgb(46, 0, 127)"
D94,"rgb(50, 0, 127)"
D95,"rgb(127, 0, 31)"
D96,"rgb(0, 97, 127)"
D97,"rgb(10, 127, 0)"
D98,"rgb(72, 127, 0)"
D99,"rgb(0, 127, 80)"
REPLACE:GBR,"rgb(120, 0, 0)"
REPLACE:BYZ,"rgb(149, 45, 102)"
REPLACE:GER,"rgb(101, 103, 105)"
REPLACE:MEX,"rgb(56, 143, 53)"
